cancer_type	tissue	target_index	track_name	strand	assay_title	output_type	ontology_curie	biosample_name	biosample_type	biosample_life_stage	data_source	gtex_tissue	histone_mark	transcription_factor	nonzero_mean	matched_patterns
ACC	Adrenal Gland	1655	UBERON:0002369 gtex Adrenal_Gland polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002369	adrenal gland	tissue	adult	gtex	Adrenal_Gland			0.05743984505534172	\badrenal gland\b
ACC	Adrenal Gland	4737	usage_UBERON:0002369 gtex Adrenal_Gland polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0002369	adrenal gland	tissue	adult	gtex	Adrenal_Gland				\badrenal gland\b
ACC	Adrenal Gland	5104	usage_UBERON:0002369 gtex Adrenal_Gland polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0002369	adrenal gland	tissue	adult	gtex	Adrenal_Gland				\badrenal gland\b
ACC	Adrenal Gland	5471	junction_UBERON:0002369 gtex Adrenal_Gland polyA plus RNA-seq			OutputType.SPLICE_JUNCTIONS	UBERON:0002369	adrenal gland	tissue			Adrenal_Gland				\badrenal gland\b
ACC	Adrenal Gland	1264	UBERON:0002369 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002369	adrenal gland	tissue	adult	encode				0.10644026100635529	\badrenal gland\b
ACC	Adrenal Gland	1535	UBERON:0002369 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002369	adrenal gland	tissue	adult	encode				0.10644026100635529	\badrenal gland\b
ACC	Adrenal Gland	1656	UBERON:0002369 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002369	adrenal gland	tissue	embryonic	encode				0.32479262351989746	\badrenal gland\b
ACC	Adrenal Gland	4738	usage_UBERON:0002369 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0002369	adrenal gland	tissue	adult	encode					\badrenal gland\b
ACC	Adrenal Gland	5105	usage_UBERON:0002369 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0002369	adrenal gland	tissue	adult	encode					\badrenal gland\b
ACC	Adrenal Gland	151	UBERON:0002369 ATAC-seq	.	ATAC-seq	OutputType.ATAC	UBERON:0002369	adrenal gland	tissue	adult	encode				0.9822091460227966	\badrenal gland\b
ACC	Adrenal Gland	985	UBERON:0002369 DNase-seq	.	DNase-seq	OutputType.DNASE	UBERON:0002369	adrenal gland	tissue	adult	encode				0.24145561456680298	\badrenal gland\b
ACC	Adrenal Gland	2674	UBERON:0002369 Histone ChIP-seq H3K27ac	.	Histone ChIP-seq	OutputType.CHIP_HISTONE	UBERON:0002369	adrenal gland	tissue	adult	encode		H3K27ac		0.7852216958999634	\badrenal gland\b
ACC	Adrenal Gland	2675	UBERON:0002369 Histone ChIP-seq H3K27me3	.	Histone ChIP-seq	OutputType.CHIP_HISTONE	UBERON:0002369	adrenal gland	tissue	embryonic	encode		H3K27me3		1.6154215335845947	\badrenal gland\b
ACC	Adrenal Gland	2676	UBERON:0002369 Histone ChIP-seq H3K36me3	.	Histone ChIP-seq	OutputType.CHIP_HISTONE	UBERON:0002369	adrenal gland	tissue	adult	encode		H3K36me3		0.8357100486755371	\badrenal gland\b
ACC	Adrenal Gland	2677	UBERON:0002369 Histone ChIP-seq H3K4me1	.	Histone ChIP-seq	OutputType.CHIP_HISTONE	UBERON:0002369	adrenal gland	tissue	adult	encode		H3K4me1		0.8265619277954102	\badrenal gland\b
ACC	Adrenal Gland	2678	UBERON:0002369 Histone ChIP-seq H3K4me3	.	Histone ChIP-seq	OutputType.CHIP_HISTONE	UBERON:0002369	adrenal gland	tissue	adult	encode		H3K4me3		0.9138931035995483	\badrenal gland\b
ACC	Adrenal Gland	2679	UBERON:0002369 Histone ChIP-seq H3K9me3	.	Histone ChIP-seq	OutputType.CHIP_HISTONE	UBERON:0002369	adrenal gland	tissue	embryonic	encode		H3K9me3		1.4173235893249512	\badrenal gland\b
ACC	Adrenal Gland	4386	UBERON:0002369 TF ChIP-seq CTCF	.	TF ChIP-seq	OutputType.CHIP_TF	UBERON:0002369	adrenal gland	tissue	adult	encode			CTCF	0.6967421174049377	\badrenal gland\b
ACC	Adrenal Gland	4387	UBERON:0002369 TF ChIP-seq POLR2A	.	TF ChIP-seq	OutputType.CHIP_TF	UBERON:0002369	adrenal gland	tissue	adult	encode			POLR2A	0.7263386249542236	\badrenal gland\b
ACC	Adrenal Gland	1265	UBERON:0002369 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002369	adrenal gland	tissue	adult	encode				0.09952406585216522	\badrenal gland\b
ACC	Adrenal Gland	1536	UBERON:0002369 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002369	adrenal gland	tissue	adult	encode				0.09952406585216522	\badrenal gland\b
ACC	Adrenal Gland	418	hCAGE UBERON:0002369	+	hCAGE	OutputType.CAGE	UBERON:0002369	adrenal gland	tissue		fantom				829.8981323242188	\badrenal gland\b
ACC	Adrenal Gland	691	hCAGE UBERON:0002369	-	hCAGE	OutputType.CAGE	UBERON:0002369	adrenal gland	tissue		fantom				829.8981323242188	\badrenal gland\b
ACC	Adrenal Gland	5472	junction_UBERON:0002369 polyA plus RNA-seq			OutputType.SPLICE_JUNCTIONS	UBERON:0002369	adrenal gland	tissue							\badrenal gland\b
ACC	Adrenal Gland	5473	junction_UBERON:0002369 total RNA-seq			OutputType.SPLICE_JUNCTIONS	UBERON:0002369	adrenal gland	tissue							\badrenal gland\b
ACC	Adrenal Gland	4739	usage_UBERON:0002369 total RNA-seq	+	total RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0002369	adrenal gland	tissue	adult	encode					\badrenal gland\b
ACC	Adrenal Gland	5106	usage_UBERON:0002369 total RNA-seq	-	total RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0002369	adrenal gland	tissue	adult	encode					\badrenal gland\b
BLCA	Bladder	1625	UBERON:0001255 gtex Bladder polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001255	urinary bladder	tissue	adult	gtex	Bladder			0.09805270284414291	\bbladder\b;\burinary bladder\b
BLCA	Bladder	4667	usage_UBERON:0001255 gtex Bladder polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0001255	urinary bladder	tissue	adult	gtex	Bladder				\bbladder\b;\burinary bladder\b
BLCA	Bladder	5034	usage_UBERON:0001255 gtex Bladder polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0001255	urinary bladder	tissue	adult	gtex	Bladder				\bbladder\b;\burinary bladder\b
BLCA	Bladder	5401	junction_UBERON:0001255 gtex Bladder polyA plus RNA-seq			OutputType.SPLICE_JUNCTIONS	UBERON:0001255	urinary bladder	tissue			Bladder				\bbladder\b;\burinary bladder\b
BLCA	Bladder	1218	UBERON:0001255 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001255	urinary bladder	tissue	child	encode				0.2732574939727783	\bbladder\b;\burinary bladder\b
BLCA	Bladder	1489	UBERON:0001255 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001255	urinary bladder	tissue	child	encode				0.2732574939727783	\bbladder\b;\burinary bladder\b
BLCA	Bladder	4668	usage_UBERON:0001255 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0001255	urinary bladder	tissue	child	encode					\bbladder\b;\burinary bladder\b
BLCA	Bladder	5035	usage_UBERON:0001255 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0001255	urinary bladder	tissue	child	encode					\bbladder\b;\burinary bladder\b
BLCA	Bladder	134	UBERON:0001259 ATAC-seq	.	ATAC-seq	OutputType.ATAC	UBERON:0001259	mucosa of urinary bladder	tissue	adult	encode				0.6834927201271057	\bbladder\b;\burinary bladder\b
BLCA	Bladder	2539	UBERON:0001255 Histone ChIP-seq H3K27ac	.	Histone ChIP-seq	OutputType.CHIP_HISTONE	UBERON:0001255	urinary bladder	tissue	adult	encode		H3K27ac		1.5340087413787842	\bbladder\b;\burinary bladder\b
BLCA	Bladder	2540	UBERON:0001255 Histone ChIP-seq H3K4me3	.	Histone ChIP-seq	OutputType.CHIP_HISTONE	UBERON:0001255	urinary bladder	tissue	adult	encode		H3K4me3		1.249588966369629	\bbladder\b;\burinary bladder\b
BLCA	Bladder	1219	UBERON:0001255 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001255	urinary bladder	tissue	embryonic	encode				0.06832712143659592	\bbladder\b;\burinary bladder\b
BLCA	Bladder	1490	UBERON:0001255 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001255	urinary bladder	tissue	embryonic	encode				0.06832712143659592	\bbladder\b;\burinary bladder\b
BLCA	Bladder	364	hCAGE UBERON:0001255	+	hCAGE	OutputType.CAGE	UBERON:0001255	urinary bladder	tissue		fantom				48.4241943359375	\bbladder\b;\burinary bladder\b
BLCA	Bladder	637	hCAGE UBERON:0001255	-	hCAGE	OutputType.CAGE	UBERON:0001255	urinary bladder	tissue		fantom				48.4241943359375	\bbladder\b;\burinary bladder\b
BLCA	Bladder	5402	junction_UBERON:0001255 polyA plus RNA-seq			OutputType.SPLICE_JUNCTIONS	UBERON:0001255	urinary bladder	tissue							\bbladder\b;\burinary bladder\b
BLCA	Bladder	5403	junction_UBERON:0001255 total RNA-seq			OutputType.SPLICE_JUNCTIONS	UBERON:0001255	urinary bladder	tissue							\bbladder\b;\burinary bladder\b
BLCA	Bladder	4669	usage_UBERON:0001255 total RNA-seq	+	total RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0001255	urinary bladder	tissue	embryonic	encode					\bbladder\b;\burinary bladder\b
BLCA	Bladder	5036	usage_UBERON:0001255 total RNA-seq	-	total RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0001255	urinary bladder	tissue	embryonic	encode					\bbladder\b;\burinary bladder\b
BRCA	Breast	1672	UBERON:0008367 gtex Breast_Mammary_Tissue polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0008367	breast epithelium	tissue	adult	gtex	Breast_Mammary_Tissue			0.04591913893818855	\bbreast\b;\bbreast\b
BRCA	Breast	4765	usage_UBERON:0008367 gtex Breast_Mammary_Tissue polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0008367	breast epithelium	tissue	adult	gtex	Breast_Mammary_Tissue				\bbreast\b;\bbreast\b
BRCA	Breast	5132	usage_UBERON:0008367 gtex Breast_Mammary_Tissue polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0008367	breast epithelium	tissue	adult	gtex	Breast_Mammary_Tissue				\bbreast\b;\bbreast\b
BRCA	Breast	5499	junction_UBERON:0008367 gtex Breast_Mammary_Tissue polyA plus RNA-seq			OutputType.SPLICE_JUNCTIONS	UBERON:0008367	breast epithelium	tissue			Breast_Mammary_Tissue				\bbreast\b;\bbreast\b
BRCA	Breast	338	hCAGE UBERON:0000310	+	hCAGE	OutputType.CAGE	UBERON:0000310	breast	tissue		fantom				203.0039520263672	\bbreast\b;\bbreast\b
BRCA	Breast	611	hCAGE UBERON:0000310	-	hCAGE	OutputType.CAGE	UBERON:0000310	breast	tissue		fantom				203.0039520263672	\bbreast\b;\bbreast\b
BRCA	Breast	159	UBERON:0008367 ATAC-seq	.	ATAC-seq	OutputType.ATAC	UBERON:0008367	breast epithelium	tissue	adult	encode				0.5911307334899902	\bbreast\b;\bbreast\b
BRCA	Breast	1000	UBERON:0008367 DNase-seq	.	DNase-seq	OutputType.DNASE	UBERON:0008367	breast epithelium	tissue	adult	encode				0.618876576423645	\bbreast\b;\bbreast\b
BRCA	Breast	2744	UBERON:0008367 Histone ChIP-seq H3K27ac	.	Histone ChIP-seq	OutputType.CHIP_HISTONE	UBERON:0008367	breast epithelium	tissue	adult	encode		H3K27ac		0.7933363914489746	\bbreast\b;\bbreast\b
BRCA	Breast	2745	UBERON:0008367 Histone ChIP-seq H3K27me3	.	Histone ChIP-seq	OutputType.CHIP_HISTONE	UBERON:0008367	breast epithelium	tissue	adult	encode		H3K27me3		0.8398851156234741	\bbreast\b;\bbreast\b
BRCA	Breast	2746	UBERON:0008367 Histone ChIP-seq H3K36me3	.	Histone ChIP-seq	OutputType.CHIP_HISTONE	UBERON:0008367	breast epithelium	tissue	adult	encode		H3K36me3		0.8763333559036255	\bbreast\b;\bbreast\b
BRCA	Breast	2747	UBERON:0008367 Histone ChIP-seq H3K4me3	.	Histone ChIP-seq	OutputType.CHIP_HISTONE	UBERON:0008367	breast epithelium	tissue	adult	encode		H3K4me3		0.8072652816772461	\bbreast\b;\bbreast\b
BRCA	Breast	2748	UBERON:0008367 Histone ChIP-seq H3K9me3	.	Histone ChIP-seq	OutputType.CHIP_HISTONE	UBERON:0008367	breast epithelium	tissue	adult	encode		H3K9me3		0.8470003604888916	\bbreast\b;\bbreast\b
BRCA	Breast	4402	UBERON:0008367 TF ChIP-seq CTCF	.	TF ChIP-seq	OutputType.CHIP_TF	UBERON:0008367	breast epithelium	tissue	adult	encode			CTCF	0.788176953792572	\bbreast\b;\bbreast\b
BRCA	Breast	4403	UBERON:0008367 TF ChIP-seq POLR2A	.	TF ChIP-seq	OutputType.CHIP_TF	UBERON:0008367	breast epithelium	tissue	adult	encode			POLR2A	0.8360593318939209	\bbreast\b;\bbreast\b
BRCA	Breast	4404	UBERON:0008367 TF ChIP-seq POLR2AphosphoS5	.	TF ChIP-seq	OutputType.CHIP_TF	UBERON:0008367	breast epithelium	tissue	adult	encode			POLR2AphosphoS5	0.8178426623344421	\bbreast\b;\bbreast\b
BRCA	Breast	1277	UBERON:0008367 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0008367	breast epithelium	tissue	adult	encode				0.07852068543434143	\bbreast\b;\bbreast\b
BRCA	Breast	1548	UBERON:0008367 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0008367	breast epithelium	tissue	adult	encode				0.07852068543434143	\bbreast\b;\bbreast\b
BRCA	Breast	5500	junction_UBERON:0008367 total RNA-seq			OutputType.SPLICE_JUNCTIONS	UBERON:0008367	breast epithelium	tissue							\bbreast\b;\bbreast\b
BRCA	Breast	4766	usage_UBERON:0008367 total RNA-seq	+	total RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0008367	breast epithelium	tissue	adult	encode					\bbreast\b;\bbreast\b
BRCA	Breast	5133	usage_UBERON:0008367 total RNA-seq	-	total RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0008367	breast epithelium	tissue	adult	encode					\bbreast\b;\bbreast\b
CESC	Cervix	1667	UBERON:0006469 gtex Brain_Spinal_cord_cervical_c-1 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0006469	C1 segment of cervical spinal cord	tissue	adult	gtex	Brain_Spinal_cord_cervical_c-1			0.06018725037574768	\bcervical\b
CESC	Cervix	4757	usage_UBERON:0006469 gtex Brain_Spinal_cord_cervical_c-1 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0006469	C1 segment of cervical spinal cord	tissue	adult	gtex	Brain_Spinal_cord_cervical_c-1				\bcervical\b
CESC	Cervix	5124	usage_UBERON:0006469 gtex Brain_Spinal_cord_cervical_c-1 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0006469	C1 segment of cervical spinal cord	tissue	adult	gtex	Brain_Spinal_cord_cervical_c-1				\bcervical\b
CESC	Cervix	1678	UBERON:0012249 gtex Cervix_Ectocervix polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0012249	ectocervix	tissue	adult	gtex	Cervix_Ectocervix			0.11553216725587845	\bectocervix\b
CESC	Cervix	4780	usage_UBERON:0012249 gtex Cervix_Ectocervix polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0012249	ectocervix	tissue	adult	gtex	Cervix_Ectocervix				\bectocervix\b
CESC	Cervix	5147	usage_UBERON:0012249 gtex Cervix_Ectocervix polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0012249	ectocervix	tissue	adult	gtex	Cervix_Ectocervix				\bectocervix\b
CESC	Cervix	1608	UBERON:0000458 gtex Cervix_Endocervix polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0000458	endocervix	tissue	adult	gtex	Cervix_Endocervix			0.11742750555276871	\bendocervix\b
CESC	Cervix	4630	usage_UBERON:0000458 gtex Cervix_Endocervix polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0000458	endocervix	tissue	adult	gtex	Cervix_Endocervix				\bendocervix\b
CESC	Cervix	4997	usage_UBERON:0000458 gtex Cervix_Endocervix polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.SPLICE_SITE_USAGE	UBERON:0000458	endocervix	tissue	adult	gtex	Cervix_Endocervix				\bendocervix\b
CESC	Cervix	5491	junction_UBERON:0006469 gtex Brain_Spinal_cord_cervical_c-1 polyA plus RNA-seq			OutputType.SPLICE_JUNCTIONS	UBERON:0006469	C1 segment of cervical spinal cord	tissue			Brain_Spinal_cord_cervical_c-1				\bcervical\b
CESC	Cervix	5514	junction_UBERON:0012249 gtex Cervix_Ectocervix polyA plus RNA-seq			OutputType.SPLICE_JUNCTIONS	UBERON:0012249	ectocervix	tissue			Cervix_Ectocervix				\bectocervix\b
CESC	Cervix	5364	junction_UBERON:0000458 gtex Cervix_Endocervix polyA plus RNA-seq			OutputType.SPLICE_JUNCTIONS	UBERON:0000458	endocervix	tissue			Cervix_Endocervix				\bendocervix\b
CESC	Cervix	330	hCAGE UBERON:0000002	+	hCAGE	OutputType.CAGE	UBERON:0000002	uterine cervix	tissue		fantom				35.90520477294922	\bcervix\b
