cancer_type	tissue	cancer_cell_lines	keyword
ACC	Adrenal Gland		adrenal gland
BLCA	Bladder		urinary bladder,bladder microvascular endothelial cell,smooth muscle cell of bladder,mucosa of urinary bladder,urothelial cell
BRCA	Breast	MCF-7,T47D	breast,breast epithelium,MCF 10A,mammary epithelial cell,luminal epithelial cell of mammary gland,myoepithelial cell of mammary gland,mammary stem cell,mammary microvascular endothelial cell,mammary gland epithelial cell,fibroblast of mammary gland,adipocyte of breast,preadipocyte of the breast,fibroblast of breast
CESC	Cervix	HeLa-S3	ectocervix,endocervix,uterine smooth muscle cell,uterine cervix
CHOL	Biliary		mucosa of gallbladder,bile duct,gallbladder
COAD	Colon	HCT116,HT-29,Caco-2,SW480,RKO,LoVo	colonic mucosa,sigmoid colon,transverse colon,left colon,large intestine,mucosa of descending colon,colon,intestinal epithelial cell,smooth muscle cell of colon,muscle layer of colon,enteric smooth muscle cell
DLBC	Lymphoid	Karpas-422,OCI-LY7,OCI-LY1,OCI-LY3,NAMALWA,Raji,SU-DHL-6	lymphoblast,B cell,naive B cell,IgD-negative memory B cell,memory B cell,lymph node,tonsil,spleen
ESCA	Esophagus		esophagus,esophagus mucosa,esophagus muscularis mucosa,esophagus squamous epithelium,gastroesophageal sphincter,epithelial cell of esophagus,smooth muscle cell of the esophagus
GBM	CNS	U-87 MG,A172,M059J,Daoy,SH-SY5Y,SK-N-DZ,SK-N-MC,SK-N-SH,PFSK-1,UCSF-4	brain,frontal cortex,dorsolateral prefrontal cortex,cerebellum,cerebellar hemisphere,temporal lobe,anterior cingulate cortex,occipital lobe,parietal lobe,caudate nucleus,hypothalamus,putamen,amygdala,nucleus accumbens,substantia nigra,diencephalon,astrocyte,astrocyte of the cerebral cortex,astrocyte of the cerebellum,astrocyte of the hippocampus,astrocyte of the spinal cord,astrocyte of the spinal cord,oligodendrocyte precursor cell,neural progenitor cell,neuronal stem cell,neural cell,neuron,glutamatergic neuron,motor neuron,neurosphere,brain microvascular endothelial cell,brain pericyte,leptomeningeal cell,central nervous system pericyte,cerebellar cortex,middle frontal gyrus,middle temporal gyrus,angular gyrus,cingulate gyrus,dorsal plus ventral thalamus,corpus callosum,head of caudate nucleus,occipital pole,paracentral gyrus,postcentral gyrus,posterior cingulate gyrus,globus pallidus,pons,medulla oblongata,locus ceruleus,insula,Ammon's horn,germinal matrix,Purkinje cell,cranial nerve II,spinal cord,ecto neural progenitor cell
HNSC	Head		tongue,anterior lingual gland,nasal cavity respiratory epithelium epithelial cell of viscerocranial mucosa,mouth mucosa,throat,gingival epithelial cell,saliva-secreting gland,parotid gland,submandibular gland,tonsil,fungiform papilla,olfactory epithelial cell,olfactory region
KICH	Kidney	G401,Caki2,RCC,RCC 7860	kidney,left kidney,cortex of kidney,renal cortex interstitium,right renal cortex interstitium,left renal cortex interstitium,renal pelvis,left renal pelvis,right renal pelvis,outer medulla of kidney,kidney epithelial cell,renal cortical epithelial cell,epithelial cell of proximal tubule,metanephros,mesangial cell,glomerular endothelial cell,glomerular visceral epithelial cell,kidney tubule cell,nephron,nephron progenitor cell,nephron tubule epithelial cell,kidney capillary endothelial cell,ureter,HK-2
KIRC	Kidney	G401,Caki2,RCC,RCC 7860	kidney,left kidney,cortex of kidney,renal cortex interstitium,right renal cortex interstitium,left renal cortex interstitium,renal pelvis,left renal pelvis,right renal pelvis,outer medulla of kidney,kidney epithelial cell,renal cortical epithelial cell,epithelial cell of proximal tubule,metanephros,mesangial cell,glomerular endothelial cell,glomerular visceral epithelial cell,kidney tubule cell,nephron,nephron progenitor cell,nephron tubule epithelial cell,kidney capillary endothelial cell,ureter,HK-2
KIRP	Kidney	G401,Caki2,RCC,RCC 7860	kidney,left kidney,cortex of kidney,renal cortex interstitium,right renal cortex interstitium,left renal cortex interstitium,renal pelvis,left renal pelvis,right renal pelvis,outer medulla of kidney,kidney epithelial cell,renal cortical epithelial cell,epithelial cell of proximal tubule,metanephros,mesangial cell,glomerular endothelial cell,glomerular visceral epithelial cell,kidney tubule cell,nephron,nephron progenitor cell,nephron tubule epithelial cell,kidney capillary endothelial cell,ureter,HK-2
LAML	Myeloid	K562,THP-1,HL-60,KBM-7,NB4,BLaER1	hematopoietic multipotent progenitor cell,mononuclear cell,peripheral blood mononuclear cell,blood,bone marrow,bone marrow cell,myelocyte,erythroblast,reticulocyte,neutrophil,eosinophil,basophil,monocyte,CD14-positive monocyte,venous blood,stromal cell of bone marrow,HS-27A,HS-5
