gene	num_cancer_types
CTNNB1	11
TP53	36
ATRX	7
MEN1	5
FAT4	14
NF1	21
ZNRF3	1
KMT2C	23
DAXX	1
KMT2A	8
SETBP1	1
RB1	22
POLE	2
TNC	3
BCOR	13
PRKAR1A	1
KDM6A	10
KMT2D	23
PIK3CA	26
ARID1A	20
FGFR3	5
CREBBP	12
ERBB2	12
STAG2	7
EP300	12
ERCC2	2
ELF3	3
FAT1	16
BIRC6	13
ERBB3	9
CDKN1A	3
ATM	16
TRRAP	10
TSC1	7
HRAS	10
RXRA	1
FBXW7	15
NFE2L2	8
BRCA2	11
KRAS	21
ASXL2	1
CDKN2A	18
RHOA	8
ARHGAP35	8
ZFP36L1	1
ARID1B	13
SF3B1	10
ASXL1	8
KLF5	3
HLA-A	9
H3C2	4
CDH1	6
GRIN2A	3
BRAF	17
SMARCA4	13
ERBB4	9
MTOR	10
PSIP1	1
PTEN	24
NOTCH2	7
RBM10	5
CYLD	5
ZFHX3	9
GNA13	2
CSMD3	17
PIK3CB	3
BRCA1	5
HSPG2	1
ARHGAP5	4
NACA	3
NCOR1	9
FLT4	8
GPAA1	1
SNX29	1
RAF1	1
TP63	4
TRIP11	1
AKAP9	8
ETV6	2
BRD4	3
TSC2	9
DDB2	1
KAT7	1
PREX2	11
ARHGEF10	1
PTPN13	2
NSD1	7
CDK12	8
CASP8	6
MYH9	6
RAP1B	1
LRIG3	1
IDH2	5
ZNF429	4
PTPRK	1
IRS4	2
CHD2	1
FBLN2	6
FGFR1	5
RNF213	10
TAF15	2
NOTCH1	16
TERT	6
GATA3	2
MAP3K1	9
ESR1	5
AKT1	6
MAP2K4	5
FOXA1	3
FAT3	16
TBX3	3
CBFB	1
RUNX1	3
PIK3R1	13
SPEN	6
LRP1B	24
CTCF	4
ATP2B3	1
AR	9
CDKN1B	3
FGFR2	5
MYH11	7
AFDN	1
DNMT3A	7
MED23	1
FOXP1	2
ZMYM3	6
SMAD4	12
PTPRD	7
EPHA3	5
RGS7	5
NCOR2	6
ETV1	2
ACVR1B	4
EIF4A2	1
ABL2	2
ELN	1
HOXC13	1
CACNA1D	3
KLF4	2
ZXDB	1
JAK2	1
TBL1XR1	3
NTRK1	1
JAK1	4
GNAS	5
PPM1D	2
NBEA	9
KMT5A	1
RHPN2	3
ATP1A1	1
UBR5	3
KDR	5
CUX1	6
CSPG4	1
MAX	3
CHEK2	1
USP6	5
DDX3X	6
SETDB1	7
EGFR	7
ARHGEF12	1
MYO5A	2
POLD1	2
LATS1	4
MECOM	5
CSF1R	2
HSP90AA1	1
CLTC	5
KAT6B	3
CD209	3
PLAG1	2
FUBP1	2
ALK	3
NUMA1	2
SMARCD1	1
BAP1	12
MED12	6
MAPK1	3
STK11	5
HLA-B	4
EIF3E	1
TGFBR2	6
NF2	8
SND1	1
B2M	4
FAS	2
ERCC3	2
MCM7	1
SIRPA	1
CLIP1	1
IDH1	9
PBRM1	11
EPHA2	1
ARID2	13
NRAS	16
APC	11
CTNNA2	8
CDH11	6
ANK1	5
GPC5	2
KEAP1	5
N4BP2	2
U2AF1	8
PTCH1	7
PRKD1	2
IKZF3	2
ARAF	2
USP9X	5
RNF43	10
TCF7L2	4
AMER1	3
SOX9	2
DCAF12L2	4
ROBO2	7
BCL9	2
BCL9L	1
SMAD2	1
CHD4	5
PCBP1	1
TSHR	2
TET1	5
PIM1	2
BCL2	2
BTG1	2
MYD88	2
CARD11	4
SGK1	1
BTG2	1
EZH2	3
P2RY8	1
CD79B	1
MEF2B	1
TNFRSF14	1
TMSB4X	1
STAT3	1
SOCS1	2
BCL6	1
EBF1	2
PRDM1	1
XPO1	1
POU2F2	1
MAP2K1	5
IRF4	1
TNFAIP3	1
STAT6	1
NFKBIE	2
NFKBIA	1
CIITA	2
PTPN6	2
CD58	1
BCL10	1
BCR	3
PABPC1	5
LYN	1
PRKCB	4
RASA2	1
RBM38	1
