tissue	target_index	track_name	strand	assay_title	output_type	ontology_curie	biosample_name	biosample_type	biosample_life_stage	data_source	gtex_tissue	nonzero_mean	matched_patterns
Adrenal Gland	1655	UBERON:0002369 gtex Adrenal_Gland polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002369	adrenal gland	tissue	adult	gtex	Adrenal_Gland	0.05743984505534172	\badrenal gland\b
Adrenal Gland	1264	UBERON:0002369 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002369	adrenal gland	tissue	adult	encode		0.10644026100635529	\badrenal gland\b
Adrenal Gland	1535	UBERON:0002369 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002369	adrenal gland	tissue	adult	encode		0.10644026100635529	\badrenal gland\b
Adrenal Gland	1656	UBERON:0002369 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002369	adrenal gland	tissue	embryonic	encode		0.32479262351989746	\badrenal gland\b
Adrenal Gland	1265	UBERON:0002369 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002369	adrenal gland	tissue	adult	encode		0.09952406585216522	\badrenal gland\b
Adrenal Gland	1536	UBERON:0002369 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002369	adrenal gland	tissue	adult	encode		0.09952406585216522	\badrenal gland\b
Bladder	1625	UBERON:0001255 gtex Bladder polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001255	urinary bladder	tissue	adult	gtex	Bladder	0.09805270284414291	\bbladder\b;\burinary bladder\b
Bladder	1218	UBERON:0001255 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001255	urinary bladder	tissue	child	encode		0.2732574939727783	\bbladder\b;\burinary bladder\b
Bladder	1489	UBERON:0001255 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001255	urinary bladder	tissue	child	encode		0.2732574939727783	\bbladder\b;\burinary bladder\b
Bladder	1219	UBERON:0001255 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001255	urinary bladder	tissue	embryonic	encode		0.06832712143659592	\bbladder\b;\burinary bladder\b
Bladder	1490	UBERON:0001255 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001255	urinary bladder	tissue	embryonic	encode		0.06832712143659592	\bbladder\b;\burinary bladder\b
Breast	1672	UBERON:0008367 gtex Breast_Mammary_Tissue polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0008367	breast epithelium	tissue	adult	gtex	Breast_Mammary_Tissue	0.04591913893818855	\bbreast\b;\bbreast\b
Breast	1277	UBERON:0008367 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0008367	breast epithelium	tissue	adult	encode		0.07852068543434143	\bbreast\b;\bbreast\b
Breast	1548	UBERON:0008367 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0008367	breast epithelium	tissue	adult	encode		0.07852068543434143	\bbreast\b;\bbreast\b
Cervix	1667	UBERON:0006469 gtex Brain_Spinal_cord_cervical_c-1 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0006469	C1 segment of cervical spinal cord	tissue	adult	gtex	Brain_Spinal_cord_cervical_c-1	0.06018725037574768	\bcervical\b
Cervix	1678	UBERON:0012249 gtex Cervix_Ectocervix polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0012249	ectocervix	tissue	adult	gtex	Cervix_Ectocervix	0.11553216725587845	\bectocervix\b
Cervix	1608	UBERON:0000458 gtex Cervix_Endocervix polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0000458	endocervix	tissue	adult	gtex	Cervix_Endocervix	0.11742750555276871	\bendocervix\b
Biliary	1273	UBERON:0005033 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0005033	mucosa of gallbladder	tissue	child	encode		0.1606866717338562	\bgallbladder\b;\bgallbladder\b
Biliary	1544	UBERON:0005033 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0005033	mucosa of gallbladder	tissue	child	encode		0.1606866717338562	\bgallbladder\b;\bgallbladder\b
Colon	1621	UBERON:0001159 gtex Colon_Sigmoid polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001159	sigmoid colon	tissue	adult	gtex	Colon_Sigmoid	0.0509834922850132	\bcolon\b;\bcolon\b
Colon	1620	UBERON:0001157 gtex Colon_Transverse polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001157	transverse colon	tissue	adult	gtex	Colon_Transverse	0.049934789538383484	\bcolon\b;\bcolon\b
Colon	1215	UBERON:0001159 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001159	sigmoid colon	tissue	adult	encode		0.3216996192932129	\bcolon\b;\bcolon\b
Colon	1486	UBERON:0001159 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001159	sigmoid colon	tissue	adult	encode		0.3216996192932129	\bcolon\b;\bcolon\b
Colon	1282	UBERON:0008971 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0008971	left colon	tissue	adult	encode		0.1311025470495224	\bcolon\b;\bcolon\b
Colon	1553	UBERON:0008971 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0008971	left colon	tissue	adult	encode		0.1311025470495224	\bcolon\b;\bcolon\b
Colon	1272	UBERON:0004992 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0004992	mucosa of descending colon	tissue	adult	encode		0.10411433130502701	\bcolon\b;\bcolon\b
Colon	1543	UBERON:0004992 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0004992	mucosa of descending colon	tissue	adult	encode		0.10411433130502701	\bcolon\b;\bcolon\b
Colon	1216	UBERON:0001159 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001159	sigmoid colon	tissue	adult	encode		0.09938795119524002	\bcolon\b;\bcolon\b
Colon	1487	UBERON:0001159 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001159	sigmoid colon	tissue	adult	encode		0.09938795119524002	\bcolon\b;\bcolon\b
Colon	1214	UBERON:0001157 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001157	transverse colon	tissue	adult	encode		0.09727869927883148	\bcolon\b;\bcolon\b
Colon	1485	UBERON:0001157 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0001157	transverse colon	tissue	adult	encode		0.09727869927883148	\bcolon\b;\bcolon\b
Lymphoid	1585	EFO:0000572 gtex Cells_EBV-transformed_lymphocytes polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	EFO:0000572	lymphoblast	tissue	adult	gtex	Cells_EBV-transformed_lymphocytes	0.06413153558969498	\blymphoblast\b
Lymphoid	1643	UBERON:0002106 gtex Spleen polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002106	spleen	tissue	adult	gtex	Spleen	0.05477229878306389	\bspleen\b;\bspleen\b
Lymphoid	1679	UBERON:0013756 gtex Whole_Blood polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0013756	venous blood	tissue	adult	gtex	Whole_Blood	0.05588344484567642	\bblood\b
Lymphoid	1249	UBERON:0002106 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002106	spleen	tissue	adult	encode		0.12643910944461823	\bspleen\b;\bspleen\b
Lymphoid	1520	UBERON:0002106 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002106	spleen	tissue	adult	encode		0.12643910944461823	\bspleen\b;\bspleen\b
Lymphoid	1644	UBERON:0002106 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002106	spleen	tissue	embryonic	encode		0.39663490653038025	\bspleen\b;\bspleen\b
Lymphoid	1266	UBERON:0002370 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002370	thymus	tissue	embryonic	encode		0.13122648000717163	\bthymus\b
Lymphoid	1537	UBERON:0002370 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002370	thymus	tissue	embryonic	encode		0.13122648000717163	\bthymus\b
Lymphoid	1657	UBERON:0002370 polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0002370	thymus	tissue	embryonic	encode		0.17336340248584747	\bthymus\b
Lymphoid	1250	UBERON:0002106 total RNA-seq	+	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002106	spleen	tissue	adult	encode		0.08943069726228714	\bspleen\b;\bspleen\b
Lymphoid	1521	UBERON:0002106 total RNA-seq	-	total RNA-seq	OutputType.RNA_SEQ	UBERON:0002106	spleen	tissue	adult	encode		0.08943069726228714	\bspleen\b;\bspleen\b
Esophagus	1664	UBERON:0004648 gtex Esophagus_Muscularis polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0004648	esophagus muscularis mucosa	tissue	adult	gtex	Esophagus_Muscularis	0.05034983530640602	\besophagus\b;\besophagus\b
Esophagus	1670	UBERON:0006920 gtex Esophagus_Mucosa polyA plus RNA-seq	.	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0006920	esophagus squamous epithelium	tissue	adult	gtex	Esophagus_Mucosa	0.05086713656783104	\besophagus\b;\besophagus\b
Esophagus	1208	UBERON:0001043 polyA plus RNA-seq	+	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001043	esophagus	tissue	adult	encode		0.09775491803884506	\besophagus\b;\besophagus\b
Esophagus	1479	UBERON:0001043 polyA plus RNA-seq	-	polyA plus RNA-seq	OutputType.RNA_SEQ	UBERON:0001043	esophagus	tissue	adult	encode		0.09775491803884506	\besophagus\b;\besophagus\b
